DIRNAME  NELM  EDIFF  CHECK_1  CHECK_2  STEPS   TIME(HR)
00276    YES   YES    YES      YES      23      .966
00277    YES   YES    YES      YES      21      .610
00278    YES   YES    YES      YES      23      .719
00279    YES   YES    YES      YES      18      .375
00280    YES   YES    YES      YES      23      .709
00281    YES   YES    YES      YES      23      .716
00282    YES   YES    YES      YES      23      .737
00283    YES   YES    YES      YES      21      .679
00284    YES   YES    YES      YES      24      1.235
00285    YES   YES    YES      YES      24      1.289
00286    YES   YES    YES      YES      24      .763
00287    YES   YES    YES      YES      22      .399
00288    YES   YES    YES      YES      23      .467
00289    YES   YES    YES      YES      24      1.437
00290    YES   YES    YES      YES      24      .759
00291    YES   YES    YES      YES      24      .496
00292    YES   YES    YES      YES      25      .419
00293    YES   YES    YES      YES      24      .622
00294    YES   YES    YES      YES      24      .736
00295    YES   YES    YES      YES      20      .410
00296    YES   YES    YES      YES      22      .889
00297    YES   YES    YES      YES      25      .765
00298    YES   YES    YES      YES      20      .596
00299    YES   YES    YES      YES      23      .739
00300    YES   YES    YES      YES      24      1.899
00301    YES   YES    YES      YES      24      1.825
00302    YES   YES    YES      YES      23      .944
00303    YES   YES    YES      YES      23      .419
00304    YES   YES    YES      YES      23      .653
00305    YES   YES    YES      YES      24      .782
00306    YES   YES    YES      YES      23      .737
00307    YES   YES    YES      YES      24      .746
00308    YES   YES    YES      YES      23      .713
00309    YES   YES    YES      YES      23      .721
00310    YES   YES    YES      YES      24      .763
00311    YES   YES    YES      YES      23      1.261
00312    YES   YES    YES      YES      25      .418
00313    YES   YES    YES      YES      24      .745
00314    YES   YES    YES      YES      23      .743
00315    YES   YES    YES      YES      19      .404
00316    YES   YES    YES      YES      23      .420
00317    YES   YES    YES      YES      23      .747
00318    YES   YES    YES      YES      24      .684
00319    YES   YES    YES      YES      20      .343
00320    YES   YES    YES      YES      19      1.123
00321    YES   YES    YES      YES      20      1.174
00322    YES   YES    YES      YES      22      .704
00323    YES   YES    YES      YES      20      .373
00324    YES   YES    YES      YES      18      .373
00325    YES   YES    YES      YES      22      .578
00326    YES   YES    YES      YES      22      .681
00327    YES   YES    YES      YES      23      .474
00328    YES   YES    YES      YES      23      .471
00329    YES   YES    YES      YES      20      .589
00330    YES   YES    YES      YES      22      .922
00331    YES   YES    YES      YES      20      .346
00332    YES   YES    YES      YES      19      .402
00333    YES   YES    YES      YES      24      .738
00334    YES   YES    YES      YES      20      1.044
00335    YES   YES    YES      YES      21      .658
00336    YES   YES    YES      YES      21      1.811
